,Unnamed: 0,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_DATECOMPLETED,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_RENTPERSQFT,PROPERTY_RENTPERSQFTALLUNITS,mean_submarket,min_submarket,max_submarket,mean_market,min_market,max_market,Censustract
0,0,15_1028,15,Miami,18,Hialeah,Miami-Dade,Blackstone,,3699 West 12th Avenue,Hialeah,FL,33012,25.8548891,-80.3054912,76,39500,1.81,C,C,1970-01-01,97.4,1135,0.02873417721518987,2.18379746835443,1.849224955205454,1.121480318332679,2.624178450507867,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 7.20
1,1,15_1160,15,Miami,10,Miami - Flagami,Miami-Dade,Blue Lake,,5275 NW 7th Street,Miami,FL,33126,25.7790997,-80.2818273,52,41600,0.98,C,C+,1972-01-01,100.0,1313,0.0315625,1.64125,2.049600891636227,1.483636363636363,3.348204857444562,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 57.06
2,2,15_1202301,15,Miami,20,Opa-locka,Miami-Dade,Providence,"Pinks, The",13300 Alexandria Drive,Opa-locka,FL,33054,25.894868,-80.255493,72,50900,1.84,C,C,1972-01-01,90.3,1482,0.02911591355599214,2.096345776031434,1.757292264707348,1.322374097452432,2.438822751322751,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 5.08
3,3,15_1203,15,Miami,22,North Miami,Miami-Dade,Prestige Place,"Royal Place, Royal Properties, Royal Place",14050 NE 6th Avenue,North Miami,FL,33161,25.9046575,-80.1876373,56,47794,1.19,C+,C-,1967-01-01,92.9,1355,0.02835083901744989,1.587646984977194,1.776516089816647,1.094536890072193,2.409871244635193,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 3.09
4,4,15_1210,15,Miami,31,Homestead,Miami-Dade,Venice at Crystal Lakes Condos,,3520 NE 5th Street,Homestead,FL,33035,25.475265,-80.424437,70,69777,5.65,A,B-,2007-01-01,100.0,1685,0.02414835834157387,1.690385083910171,1.606194334250459,1.157198564379489,2.410858995137763,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 110.15
5,5,15_1218,15,Miami,23,North Miami Beach,Miami-Dade,Waterview,,1720 South Glades Drive,North Miami Beach,FL,33162,25.927809,-80.165436,68,49980,1.77,C,C,1961-01-01,100.0,1471,0.02943177270908363,2.001360544217687,2.043377206368311,1.159407665505226,2.788698117569754,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 2.25
6,6,15_1309,15,Miami,18,Hialeah,Miami-Dade,Sunside,,315 West 20th Street,Hialeah,FL,33010,25.839976,-80.288338,78,45840,1.18,C,C,1968-01-01,100.0,1281,0.02794502617801047,2.179712041884817,1.849224955205454,1.121480318332679,2.624178450507867,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 8.08
7,7,15_132,15,Miami,5,Miami - Overtown,Miami-Dade,Manhattan,,560 NW 7th Street,Miami,FL,33136,25.7802132,-80.2042654,54,34305,0.69,C-,C,1960-01-01,100.0,978,0.0285089637079143,1.539484040227372,2.282345481382356,1.539484040227372,3.041877051007155,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 36.07
8,8,15_1329209,15,Miami,21,Miami Gardens,Miami-Dade,"Villages at Miami Gardens, The",,3400 NW 191st Street,Miami Gardens,FL,33056,25.94714,-80.258065,50,63600,3.34,B,B-,2021-03-31,,2506,0.03940251572327044,1.970125786163522,1.82381700458644,1.371073853989813,2.550999563472387,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 100.24
9,9,15_1385,15,Miami,17,Airport,Miami-Dade,Fairway,,75 Fairway Drive,Miami Springs,FL,33166,25.808931,-80.2818273,62,40730,1.36,C,C,1963-01-01,100.0,1227,0.03012521482936411,1.867763319420574,1.984636747975219,1.479232864275987,2.645844918134075,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 47.05
10,10,15_1386,15,Miami,4,Miami - Little Havana,Miami-Dade,Garcia,,2150 NW 9th Street,Miami,FL,33125,25.7813247,-80.2308897,61,35867,1.32,C,C+,1973-01-01,100.0,1451,0.04045501435860262,2.46775587587476,2.163229380551519,1.139307477238512,3.18347490465996,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 51.02
11,11,15_1403,15,Miami,26,Sunset,Miami-Dade,"Oaks, The",,8440 SW 107th Avenue,Miami,FL,33173,25.6897517,-80.3667784,53,34144,1.38,C-,C+,1969-01-01,100.0,1008,0.02952202436738519,1.564667291471415,1.63909179354223,1.392362437076896,1.915249549140878,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 84.30
12,12,15_1404,15,Miami,10,Miami - Flagami,Miami-Dade,Casa Grande II,,4350 NW 10th Street,Miami,FL,33126,25.7814701,-80.2665373,56,32432,1.4,C,C+,1967-01-01,,1037,0.03197459299457326,1.790577207696103,2.049600891636227,1.483636363636363,3.348204857444562,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 49.01
13,13,15_1408,15,Miami,22,North Miami,Miami-Dade,Lion King,,1500 NE 125th Terrace,North Miami,FL,33161,25.8913487,-80.1681066,53,37086,1.18,C,C+,1961-01-01,98.1,1392,0.03753437955023459,1.989322116162433,1.776516089816647,1.094536890072193,2.409871244635193,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 1.24
14,14,15_1410,15,Miami,20,Opa-locka,Miami-Dade,Opa Locka,,2281 NW 135th Street,Miami,FL,33167,25.8977618,-80.2369185,52,44042,1.17,C+,C,1969-01-01,100.0,1120,0.02543027110485446,1.322374097452432,1.757292264707348,1.322374097452432,2.438822751322751,2.100448538406718,0.8174104336895034,4.751538237095321,Census Tract 4.17
