,Unnamed: 0,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_DATECOMPLETED,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_RENTPERSQFT,PROPERTY_RENTPERSQFTALLUNITS,mean_submarket,min_submarket,max_submarket,mean_market,min_market,max_market,Censustract
0,0,54_106,54,Little Rock,17,Jacksonville,Pulaski,Park Place of Jacksonville,William Manor,700 Poplar Street,Jacksonville,AR,72076,34.869742,-92.11691,68,48520,1.44,C+,C,1976-01-01,47.1,645,0.01329348722176422,0.903957131079967,0.8279865591427924,0.630832358565885,1.176892230576441,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 36.08
1,1,54_1314693,54,Little Rock,10,John Barrow,Pulaski,Ascent at Aldersgate,,1310 Aldersgate Road,Little Rock,AR,72205,34.74083,-92.390435,50,55025,1.59,A-,B-,2019-01-01,86.0,1334,0.02424352567014993,1.212176283507497,0.9420617129151261,0.7104506232023011,1.212176283507497,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 24.10
2,2,54_146,54,Little Rock,21,Saline,Saline,Country Oaks,,1309 Country Oaks Drive,Benton,AR,72015,34.5501859,-92.546367,66,60720,9.6,B-,C+,1993-01-01,100.0,726,0.01195652173913044,0.7891304347826087,0.7891304347826087,0.7891304347826087,0.7891304347826087,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 106.02
3,3,54_163,54,Little Rock,11,Midtown,Pulaski,Summerhill,,419 Bob White Drive,Little Rock,AR,72205,34.7496324,-92.3473797,53,58788,3.45,B-,B,1988-01-01,94.3,797,0.01355718854187929,0.7185309927196026,0.9035798881929946,0.6403574087862993,1.30656152124354,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 21.03
4,4,54_171,54,Little Rock,6,Oak Forest,Pulaski,Pinnacle Rock,,1100 Fair Park Blvd,Little Rock,AR,72204,34.741849,-92.334997,52,40800,0.77,C+,C,2016-10-19,100.0,830,0.02034313725490196,1.057843137254902,0.941249804339461,0.8017298662177726,1.060524091293322,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 18
5,5,54_202,54,Little Rock,17,Jacksonville,Pulaski,Windgate Square,"Remington Place, Poplar Square",700 Poplar Street,Jacksonville,AR,72076,34.869855,-92.116747,53,39700,1.26,C,C,1969-01-01,35.8,667,0.01680100755667506,0.8904534005037784,0.8279865591427924,0.630832358565885,1.176892230576441,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 36.08
6,6,54_216,54,Little Rock,24,River Mountain,Pulaski,"Bentley, The",,2001 Green Mountain Drive,Little Rock,AR,72212,34.771225,-92.402927,64,36224,2.69,B-,B-,1984-01-01,90.6,600,0.01656360424028269,1.060070671378092,1.046974275633064,0.7373086220789686,1.36003481224956,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 22.09
7,7,54_221,54,Little Rock,26,Conway,Faulkner,Plaza Pointe,,2400 Market Plaza,Conway,AR,72032,35.110372,-92.449224,64,53056,2.88,B-,C+,2011-01-01,100.0,746,0.01406061519903498,0.8998793727382388,0.8562712116770491,0.7331670822942643,1.029113096535193,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 305.02
8,8,54_233,54,Little Rock,15,North Little Rock,Pulaski,Argenta Square,,617 North Maple Street,North Little Rock,AR,72114,34.7595848,-92.2693742,57,49209,1.45,C,C,2002-01-01,96.5,752,0.01528175740210124,0.8710601719197707,1.01889661451744,0.5909626274065685,1.389378628251989,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 25
9,9,54_242,54,Little Rock,15,North Little Rock,Pulaski,Woodland Terrace,,1701 Skyline Drive,North Little Rock,AR,72116,34.7805784,-92.2410219,60,52000,2.94,C+,B,1976-01-01,100.0,824,0.01584615384615385,0.9507692307692308,1.01889661451744,0.5909626274065685,1.389378628251989,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 33.08
10,10,54_253,54,Little Rock,26,Conway,Faulkner,Westwood Gardens,,2950 Becky Road,Conway,AR,72034,35.071966,-92.472773,53,44647,3.83,B-,B-,2000-01-01,96.2,692,0.01549936165923802,0.8214661679396152,0.8562712116770491,0.7331670822942643,1.029113096535193,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 308
11,11,54_260,54,Little Rock,16,Gibson-Sherwood,Pulaski,Lynnwood,,8860 Thomas Street,Sherwood,AR,72120,34.835513,-92.225413,60,31620,2.33,C,B-,1992-01-01,100.0,474,0.01499051233396584,0.8994307400379506,0.8336721661262446,0.6011665046521316,0.9822862632084535,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 37.14
12,12,54_266,54,Little Rock,8,Alexander-Mabelvale,Pulaski,Royal Oak,,8621 Baseline Road,Little Rock,AR,72209,34.669552,-92.374453,71,46100,3.32,C,C+,1971-01-01,100.0,599,0.01299349240780911,0.9225379609544468,0.9185992740792879,0.6681638044914134,1.32845104909597,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 41.05
13,13,54_272,54,Little Rock,11,Midtown,Pulaski,Clearbrook Village,,619 Brookside Drive,Little Rock,AR,72205,34.758721,-92.372717,53,32967,1.46,C+,B,1973-01-01,92.5,571,0.01732035065368399,0.9179785846452513,0.9035798881929946,0.6403574087862993,1.30656152124354,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 22.03
14,14,54_276,54,Little Rock,13,Maumelle,Pulaski,Villas at Audubon,,104 Venezia Lane,Little Rock,AR,72212,34.8535546,-92.4079547,61,85400,7.63,B,B,2008-01-01,96.7,1248,0.0146135831381733,0.8914285714285715,1.005886612324316,0.5859154929577465,1.277910876856732,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 43.06
15,15,54_282,54,Little Rock,16,Gibson-Sherwood,Pulaski,Apple Valley Townhomes,,211 Apple Valley Drive,Sherwood,AR,72120,34.827667,-92.229981,66,72600,5.25,B-,C+,1996-01-01,100.0,885,0.0121900826446281,0.8045454545454546,0.8336721661262446,0.6011665046521316,0.9822862632084535,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 37.04
16,16,54_291,54,Little Rock,6,Oak Forest,Pulaski,Parkwood,,3510 South Bryant Street,Little Rock,AR,72204,34.72027,-92.351677,52,38606,1.45,C,C+,1973-01-01,78.8,621,0.01608558255193493,0.8364502927006165,0.941249804339461,0.8017298662177726,1.060524091293322,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 21.02
17,17,54_296,54,Little Rock,11,Midtown,Pulaski,Markham Oaks,,8118 West Markham Street,Little Rock,AR,72205,34.753923,-92.364694,52,45220,3.48,B-,B-,1956-01-01,94.2,963,0.02129588677576294,1.107386112339673,0.9035798881929946,0.6403574087862993,1.30656152124354,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 21.04
18,18,54_305,54,Little Rock,17,Jacksonville,Pulaski,Swiss Village,,1001 Quince Hill Road,Jacksonville,AR,72076,34.899501,-92.097755,53,19950,3.69,C,C+,1975-01-01,98.1,443,0.02220551378446115,1.176892230576441,0.8279865591427924,0.630832358565885,1.176892230576441,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 36.09
19,19,54_312,54,Little Rock,3,Upper Baseline,Pulaski,Berwyn Square,,6320 Butler Road,Little Rock,AR,72209,34.691659,-92.332392,64,36012,2.26,C+,C,1976-01-01,21.9,593,0.01646673331111852,1.053870931911585,0.9246133970379813,0.7750309023485785,1.053870931911585,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 20.02
20,20,54_317,54,Little Rock,7,Pulaski Heights,Pulaski,Barton Oaks,,107 Barton Street,Little Rock,AR,72205,34.7500842,-92.297389,54,43840,1.33,C,B-,1971-01-01,100.0,636,0.01450729927007299,0.7833941605839416,1.131500500685677,0.7485986742644494,1.481838096063167,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 48.01
21,21,54_940,54,Little Rock,22,Bryant,Saline,St. Regis at Hurricane Lake,,4013 Springhill Road,Bryant,AR,72019,34.6327951,-92.5171796,60,51477,7.58,B,B-,2008-01-01,100.0,889,0.01726984867027993,1.036190920216796,0.9051248830737012,0.8161561342169807,1.036190920216796,0.9692091156580273,0.5859154929577465,1.481838096063167,Census Tract 105.18
22,22,71_100,71,Nashville,6,North Nashville/Bordeaux,Davidson,Court Villa,,2612 West Heiman Street,Nashville,TN,37208,36.170105,-86.817401,66,48960,3.24,C+,C,1972-01-01,95.5,897,0.01832107843137255,1.209191176470588,1.830624523443652,1.209191176470588,2.210728319473636,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 136
23,23,71_106,71,Nashville,17,Goodlettsville - north,Davidson,Crestbrook Meadows Townhomes,,221 Aurora Avenue,Madison,TN,37115,36.28374,-86.703252,54,64800,6.91,C+,C,1984-01-01,94.4,1050,0.0162037037037037,0.875,1.297772387769308,0.875,1.65625,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 104.01
24,24,71_1237429,71,Nashville,22,Southeast/Brentwood,Davidson,"Lofts at Rose Monte, The",,2325 Zermatt Avenue,Nashville,TN,37211,36.0406881,-86.72144032,52,73311,6.31,B+,B-,2017-11-17,100.0,1777,0.02423920012003656,1.260438406241901,1.668348729190901,1.160368098159509,2.49794500723589,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 191.16
25,25,71_124,71,Nashville,19,Nashville Shores/Hermitage,Davidson,East Lake,,256 Stewarts Ferry Pike,Nashville,TN,37214,36.162067,-86.647259,61,40450,5.98,C,B-,1961-01-01,100.0,865,0.02138442521631644,1.304449938195303,1.48235565778741,1.074580123053046,2.042242830901112,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 155.02
26,26,71_1297541,71,Nashville,16,West Nashville,Davidson,647 Residences,,647 Vernon Avenue,Nashville,TN,37209,36.159982,-86.869525,50,85910,4.14,A-,C+,2021-09-30,,2643,0.03076475381212897,1.538237690606449,1.660749235914526,1.332142152023692,2.371816689659339,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 132.02
27,27,71_1308625,71,Nashville,21,Antioch - south,Davidson,"Lofts at Brentwood, The",,1616 Bell Road,Nashville,TN,37211,36.0442739,-86.6995704,70,48719,4.46,B+,B-,2020-01-01,95.7,1308,0.02684784170446848,1.879348919312794,1.455111645467176,1.133265513733469,1.879348919312794,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 191.12
28,28,71_1345,71,Nashville,5,Midtown/Music Row,Davidson,"Vibe at Marathon Village, The",Herman Street Redevelopment,1601 Herman Street,Nashville,TN,37208,36.165019,-86.800608,68,53780,2.34,B-,C,2017-06-01,95.6,1616,0.03004834510970621,2.043287467460022,2.564313240179119,1.993846153846154,3.273139207785296,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 142
29,29,71_14,71,Nashville,5,Midtown/Music Row,Davidson,Americana,,1906 Chet Atkins Place,Nashville,TN,37212,36.148877,-86.79627,66,43425,0.31,C+,B,1964-01-01,95.5,1324,0.03048934945308002,2.012297063903282,2.564313240179119,1.993846153846154,3.273139207785296,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 195.01
30,30,71_151,71,Nashville,15,West End/Green Hills,Davidson,Green Hills Manor,,5000 Hillsboro Pike,Nashville,TN,37203,36.09837,-86.821919,60,62400,3.48,C+,C+,1968-01-01,95.0,1234,0.01977564102564102,1.186538461538462,1.833404792007937,1.133319274567693,3.328379596117767,1.620293744725178,0.7054081289889149,3.749964953598564,Census Tract 179.02
