,Unnamed: 0,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_DATECOMPLETED,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_RENTPERSQFT,PROPERTY_RENTPERSQFTALLUNITS,mean_submarket,min_submarket,max_submarket,mean_market,min_market,max_market,Censustract
0,0,22_11364,22,Atlanta - Urban,21,South Buckhead,Fulton,Park at Peachtree Memorial,,128 Peachtree Memorial Drive NW,Atlanta,GA,30309,33.817292,-84.394262,50,71650,3.42,B,A+,1920-01-01 00:00:00,94.0,2172,0.03031402651779484,1.515701325889742,2.071965004658659,1.515701325889742,2.962393969076049,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 91.04
1,1,22_1272418,22,Atlanta - Urban,14,Midtown West/Centennial Place,Fulton,"Byron on Peachtree, The",,549 Peachtree Street NE,Atlanta,GA,30308,33.76949005,-84.384856,65,57135,0.86,A-,B-,2016-01-01 00:00:00,100.0,2106,0.03686006825938567,2.395904436860068,2.359963561098484,1.105276872964169,3.576752053563369,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 19.02
2,2,22_2320,22,Atlanta - Urban,31,Brookhaven,DeKalb,Buford Heights,,3610 Buford Hwy NE,Atlanta,GA,30329,33.850885,-84.3213789,59,64720,3.9,B-,C+,1967-01-01 00:00:00,100.0,1298,0.02005562422744129,1.183281829419036,1.407239769256297,0.9362166227905226,1.983828471356673,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 214.21
3,3,22_2669,22,Atlanta - Urban,13,Bankhead,Fulton,Fairway Court,"RV Fairway, Fairway Court",1247 Joseph E. Boone Blvd NW,Atlanta,GA,30310,33.7637196,-84.428676,64,38404,2.76,C,C,1960-01-01 00:00:00,93.8,752,0.01958129361524841,1.253202791375898,1.485248128117049,1.253202791375898,1.7172934648582,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 84
4,4,22_2972,22,Atlanta - Urban,4,Forest Park,Clayton,Forest Creek,"Waldrop Creek, Clayton Forest",4663 Waldrop Drive,Forest Park,GA,30297,33.627286,-84.365913,56,51800,3.7,C+,C,1965-01-01 00:00:00,89.3,889,0.01716216216216216,0.9610810810810811,1.016377941196732,0.9610810810810811,1.059962854868665,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 403.02
5,5,22_3094,22,Atlanta - Urban,6,Lakewood,Fulton,New Village,Arcadia Downs,2905 Springdale Road SW,Atlanta,GA,30315,33.675612,-84.417047,64,58480,3.76,C,C+,1972-01-01 00:00:00,100.0,1710,0.02924076607387141,1.87140902872777,1.327279769324533,0.8286519114688128,1.87140902872777,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 74
6,6,22_3112,22,Atlanta - Urban,30,Lenox,DeKalb,Rio at Lenox,"Rio Vista, Kenco Buford",2700 Buford Hwy NE,Atlanta,GA,30324,33.8283705,-84.3467693,66,40030,3.49,C,B+,1966-01-01 00:00:00,86.4,1279,0.03195103672245816,2.108768423682239,1.612827821404086,1.202167659749332,2.108768423682239,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 214.15
7,7,22_3113,22,Atlanta - Urban,24,North Druid Hills,DeKalb,Kenco Briarcliff,,2194 Briarcliff Road NE,Atlanta,GA,30329,33.817736,-84.3361282,56,36759,2.7,C+,B,1964-01-01 00:00:00,98.2,1138,0.03095840474441633,1.733670665687315,1.831867865050759,1.453857015846452,2.283467916315144,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 215.02
8,8,22_3118,22,Atlanta - Urban,32,Northlake,DeKalb,Northlake,Kenco Tucker,2006 Northlake Pkwy,Tucker,GA,30084,33.8403591,-84.2420726,66,50992,4.3,C+,B,1970-01-01 00:00:00,95.5,930,0.01823815500470662,1.203718230310637,1.626239042965466,1.203718230310637,2.013527132797571,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 217.08
9,9,22_3323,22,Atlanta - Urban,31,Brookhaven,DeKalb,Villas de las Colinas 2,"Sierra Station, Brookstone Station, Marquis Station",3632 Buford Hwy NE,Atlanta,GA,30329,33.8516869,-84.3202659,62,80200,5.05,B-,C+,1972-01-01 00:00:00,100.0,1404,0.01750623441396509,1.085386533665835,1.407239769256297,0.9362166227905226,1.983828471356673,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 214.21
10,10,22_3342,22,Atlanta - Urban,18,Decatur,DeKalb,Spring Pointe,,1301 Oakview Road,Decatur,GA,30030,33.7569873,-84.3055248,65,39950,5.68,C,B-,1958-01-01 00:00:00,96.9,709,0.01774718397997497,1.153566958698373,1.937075843733175,1.153566958698373,2.461362278430592,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 227
11,11,22_4495,22,Atlanta - Urban,18,Decatur,DeKalb,"Pines on Scott, The",,927 Scott Blvd,Decatur,GA,30030,33.7854333,-84.302257,57,49800,4.8,C+,B,1960-01-01 00:00:00,100.0,1173,0.02355421686746988,1.342590361445783,1.937075843733175,1.153566958698373,2.461362278430592,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 226.01
12,12,22_474116,22,Atlanta - Urban,14,Midtown West/Centennial Place,Fulton,Gardens at Washington Park 2,"Gardens at Washington Park II, The",961 Desoto Street SW,Atlanta,GA,30314,33.7577455,-84.4193798,64,40000,2.21,C-,C-,1962-01-01 00:00:00,95.3,1184,0.0296,1.8944,2.359963561098484,1.105276872964169,3.576752053563369,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 24
13,13,22_479,22,Atlanta - Urban,17,Inman Park/Virginia Highlands,Fulton,"Telephone Factory Lofts, The",Telephone Factory,828 Ralph McGill Blvd NE,Atlanta,GA,30306,33.7681659,-84.3603706,68,117613,2.94,B+,A,1995-01-01 00:00:00,92.6,2963,0.0251927933136643,1.713109945329173,1.999537273563724,1.361834862385321,2.71592376111817,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 16
14,14,22_4916,22,Atlanta - Urban,12,Harwell Heights,Fulton,Martin Manor,,2950 Martin Luther King Jr. Drive SW,Atlanta,GA,30311,33.752975,-84.484054,64,51200,3.9,C,C+,1970-01-01 00:00:00,92.2,826,0.0161328125,1.0325,1.163607315067914,0.9959579628132578,1.593862671260316,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 81.03
15,15,22_4997,22,Atlanta - Urban,24,North Druid Hills,DeKalb,Summit Grove,,2340 Lawrenceville Hwy,Decatur,GA,30033,33.815896,-84.269144,64,49845,5.68,C,B-,1966-01-01 00:00:00,95.3,1311,0.02630153475774902,1.683298224495937,1.831867865050759,1.453857015846452,2.283467916315144,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 223.02
16,16,22_5279,22,Atlanta - Urban,29,Buckhead Village,Fulton,Windsor Hall of Atlanta,,3703 Peachtree Road NE,Atlanta,GA,30319,33.8546143,-84.3528837,52,66288,2.72,B-,A,1964-01-01 00:00:00,92.3,1334,0.02012430605841178,1.046463915037413,2.202227682290424,1.046463915037413,3.229433137388119,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 96.07
17,17,22_5786,22,Atlanta - Urban,5,East Point/Hapeville,Fulton,Mount Vernon,,3155 Harris Drive,East Point,GA,30334,33.669509,-84.4608034,52,66132,2.66,C+,C,1963-01-01 00:00:00,88.5,1170,0.01769188894937398,0.9199782253674469,1.293391555871479,0.8683828996282528,1.952529165941146,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 113.10
18,18,22_5793,22,Atlanta - Urban,18,Decatur,DeKalb,Camellia,Adair Oaks,212 Adair Street,Decatur,GA,30030,33.7695803,-84.3074941,64,64000,4.43,B-,B+,1969-01-01 00:00:00,98.4,1684,0.0263125,1.684,1.937075843733175,1.153566958698373,2.461362278430592,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 225.01
19,19,22_5829,22,Atlanta - Urban,25,North Decatur/Clarkston/Scottdale,DeKalb,Fox Trail Townhomes,,3701 Debelle Court,Clarkston,GA,30021,33.803714,-84.237633,60,66000,3.0,C+,C,1968-01-01 00:00:00,100.0,857,0.01298484848484848,0.7790909090909091,1.492450076769869,0.7790909090909091,2.598816107455446,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 220.11
20,20,22_6929,22,Atlanta - Urban,5,East Point/Hapeville,Fulton,"Lexington II, The",Concord Court,2900 Concord Court,East Point,GA,30344,33.676298,-84.461052,52,40216,3.9,B-,C+,1978-01-01 00:00:00,100.0,966,0.02402029043166899,1.249055102446787,1.293391555871479,0.8683828996282528,1.952529165941146,1.875550866112219,0.6477311024324485,3.664382912733673,Census Tract 113.10
21,21,24_2563,24,Atlanta - Suburban,25,Marietta SW,Cobb,Midwood Village,"Madison Village, River Stone",1870 Atlanta Road SE,Smyrna,GA,30080,33.90664,-84.53047,58,54560,7.0,C+,C+,1986-01-01 00:00:00,100.0,996,0.01825513196480938,1.058797653958944,1.431694567860052,0.9131310169023139,1.959019761858936,1.58949649305221,0.7685343014632635,3.208865798637639,Census Tract 310.01
22,22,24_5858,24,Atlanta - Suburban,25,Marietta SW,Cobb,Crestwood Park,,925 Gresham Avenue NE,Marietta,GA,30060,33.9537736,-84.525153,60,58770,6.12,B-,B-,1998-01-01 00:00:00,100.0,1223,0.02080993704270886,1.248596222562532,1.431694567860052,0.9131310169023139,1.959019761858936,1.58949649305221,0.7685343014632635,3.208865798637639,Census Tract 307
23,23,24_5971,24,Atlanta - Suburban,9,Lawrenceville,Gwinnett,Britain Village,"Meadows of Gwinnett, The",1291 Britain Drive,Lawrenceville,GA,30044,33.948662,-84.090802,68,82500,10.59,B-,B-,1985-01-01 00:00:00,100.0,1301,0.01576969696969697,1.072339393939394,1.615188098585373,1.069256522514313,2.225799604526717,1.58949649305221,0.7685343014632635,3.208865798637639,Census Tract 505.39
24,24,24_6309,24,Atlanta - Suburban,2,Cumming,Forsyth,Overlook Club,,2600 Castleberry Road,Cumming,GA,30040,34.19839,-84.15009,64,37696,4.89,C+,B-,1988-01-01 00:00:00,100.0,938,0.02488327674023769,1.592529711375212,1.768030919787314,1.180271575834792,2.629646169574348,1.58949649305221,0.7685343014632635,3.208865798637639,Census Tract 1304.10
25,25,46_1273066,46,Raleigh - Durham,1,Downtown Raleigh,Wake,Trails Corner,,804 Mcmakin Street,Raleigh,NC,27610,35.763537,-78.627962,56,52360,8.62,C,C,1962-01-01 00:00:00,89.3,1318,0.02517188693659282,1.409625668449198,1.850355107383729,1.227083333333333,3.114031768000606,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 508
26,26,46_1669,46,Raleigh - Durham,9,Crabtree Valley,Wake,Midtown Park Townhomes,,5499 Tralee Place,Raleigh,NC,27609,35.85513,-78.63873,60,66000,5.85,C+,B-,1972-01-01 00:00:00,98.3,1496,0.02266666666666667,1.36,1.791685574312466,1.1056258790436,2.751569784035772,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 526.02
27,27,46_1696,46,Raleigh - Durham,40,Chapel Hill,Orange,"Stratford on MLK, The",,881 Martin Luther King Jr. Blvd,Chapel Hill,NC,27541,35.92866,-79.05479,50,47760,4.18,C,A-,1970-01-01 00:00:00,84.0,1150,0.02407872696817421,1.20393634840871,1.687639918826608,1.140692640692641,2.389715977602942,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 118
28,28,46_1735,46,Raleigh - Durham,39,Carrboro,Orange,Environ Lofts at East 54,Environs at East 54,5000 Environ Way,Chapel Hill,NC,27517,35.906407,-79.0208919,58,51711,9.78,B+,B,2015-01-01 00:00:00,96.6,2024,0.03914060838119549,2.270155286109338,1.664315010167842,1.099417832081298,2.270155286109338,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 122.01
29,29,46_189,46,Raleigh - Durham,40,Chapel Hill,Orange,Kings Arms,,1320 Ephesus Church Road,Chapel Hill,NC,27517,35.93299,-79.01922,64,59136,7.21,B-,B+,1967-01-01 00:00:00,100.0,1054,0.01782332251082251,1.140692640692641,1.687639918826608,1.140692640692641,2.389715977602942,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 121.02
30,30,46_240,46,Raleigh - Durham,4,Hinton,Wake,Boylan,,817 Hillsborough Street,Raleigh,NC,27603,35.780424,-78.651631,56,35340,1.14,C,B+,1935-01-01 00:00:00,98.2,1300,0.03678551216751556,2.059988681380871,1.824586714920176,1.074925074925075,3.242307692307692,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 510
31,31,46_2426,46,Raleigh - Durham,3,Ridgewood,Wake,800 St. Mary's,,800 St Marys Street,Raleigh,NC,27605,35.7912,-78.651191,65,79891,1.08,A-,B+,2020-11-08 00:00:00,93.8,3229,0.04041756893767758,2.627141980949043,2.074005219412592,1.488333333333333,2.627141980949043,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 503
32,32,46_246,46,Raleigh - Durham,2,Oakwood,Wake,"Mordecai on Clover, The","Clover Lane Townhomes, Clover Lane/Brookview/Oakwood",411 Clover Lane,Raleigh,NC,27604,35.7956959,-78.6295205,57,59850,5.37,B-,B-,1967-01-01 00:00:00,96.5,1600,0.02673350041771094,1.523809523809524,1.90530502062748,1.010382978723404,2.544121678205609,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 505
33,33,46_250,46,Raleigh - Durham,7,Westover,Wake,Westcliffe,,400 Westcliffe Court,Raleigh,NC,27606,35.776234,-78.734377,60,63000,7.75,B-,C+,1971-01-01 00:00:00,91.7,892,0.01415873015873016,0.8495238095238096,1.549881574793146,0.8495238095238096,1.875556898976226,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 524.11
34,34,46_261,46,Raleigh - Durham,4,Hinton,Wake,Gorman Place,,1822 Gorman Street,Raleigh,NC,27606,35.7742408,-78.690882,50,50050,5.21,B-,C+,1981-01-01 00:00:00,,1076,0.0214985014985015,1.074925074925075,1.824586714920176,1.074925074925075,3.242307692307692,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 524.08
35,35,46_277,46,Raleigh - Durham,3,Ridgewood,Wake,"Townes at Bishops Park, The",Raleigh Towne,523 Wade Avenue,Raleigh,NC,27627,35.796501,-78.6485838,51,61200,2.41,B-,A,1965-01-01 00:00:00,86.3,1786,0.02918300653594771,1.488333333333333,2.074005219412592,1.488333333333333,2.627141980949043,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 503
36,36,46_279,46,Raleigh - Durham,4,Hinton,Wake,Shelton,,20 Mayo Street,Raleigh,NC,27601,35.7808422,-78.654298,63,40950,1.28,C,B,1950-01-01 00:00:00,100.0,1005,0.02454212454212454,1.546153846153846,1.824586714920176,1.074925074925075,3.242307692307692,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 510
37,37,46_283,46,Raleigh - Durham,2,Oakwood,Wake,Tivoli Gardens,,1507 Tivoli Gardens,Raleigh,NC,27604,35.8012846,-78.6196618,53,47000,3.8,B,B-,1975-01-01 00:00:00,96.2,896,0.01906382978723404,1.010382978723404,1.90530502062748,1.010382978723404,2.544121678205609,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 505
38,38,46_307,46,Raleigh - Durham,13,Garner,Wake,Plaza,,725 Crestwood Drive,Garner,NC,27529,35.7022202,-78.6106161,50,52580,16.82,C+,B,1969-01-01 00:00:00,96.0,943,0.01793457588436668,0.896728794218334,1.364406530418171,0.896728794218334,1.666485947258848,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 528.14
39,39,46_312,46,Raleigh - Durham,13,Garner,Wake,Woodridge,,1200 Springview Trail,Garner,NC,27529,35.708397,-78.633441,54,47700,3.31,C+,B,1973-01-01 00:00:00,100.0,889,0.01863731656184486,1.006415094339623,1.364406530418171,0.896728794218334,1.666485947258848,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 528.02
40,40,46_333,46,Raleigh - Durham,19,Lynn,Wake,Colony Townhomes,Golden Colony Townhouses,5581 Burnlee Place,Raleigh,NC,27609,35.8563452305122,-78.6395014575692,59,69469,7.5,C+,B-,1968-01-01 00:00:00,100.0,1419,0.02042637723301041,1.205156256747614,1.445231721808575,0.8747832642291745,1.832227784730913,1.566992505337804,0.8110408873984264,3.251783697152843,Census Tract 540.01
