,Unnamed: 0,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_DATECOMPLETED,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_RENTPERSQFT,PROPERTY_RENTPERSQFTALLUNITS,mean_submarket,min_submarket,max_submarket,mean_market,min_market,max_market,Censustract
0,1,1_1024,1,Phoenix,2N,North Paradise Valley,Maricopa,Mission Springs,,16818 North 56th Street,Scottsdale,AZ,85254,33.639116,-111.961287,50,48160,4.271,B,B+,1990-09-01 00:00:00,98.0,1689,0.03507059800664452,1.753529900332226,2.130609011719109,1.429553820638324,3.671753824261828,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1032.16
1,3,1_104,1,Phoenix,21E,Union Hills,Maricopa,Courtyard Village,La Miradora,17609 North 19th Avenue,Phoenix,AZ,85023,33.6461520589476,-112.099697571572,56,52360,1.877,C+,B-,1984-01-01 00:00:00,96.4,1279,0.0244270435446906,1.367914438502674,1.94200224474234,1.195477453580902,2.602191116042579,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 6188
2,8,1_1154999,1,Phoenix,10,Central East Phoenix,Maricopa,Zen on 50,,2015 North 50th Street,Phoenix,AZ,85008,33.469427,-111.973204,55,60263,3.61,B+,B-,2018-01-01 00:00:00,,2210,0.03667258516834542,2.016992184258998,1.840591322341589,1.350588235294118,2.402877697841727,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1112.01
3,9,1_1176986,1,Phoenix,2S,South Paradise Valley,Maricopa,Novella at Biltmore,,5455 North 18th Street,Phoenix,AZ,85016,33.515432,-112.042943,51,108384,3.5,A-,B,2021-03-26 00:00:00,92.2,3888,0.03587245349867139,1.829495128432241,2.273000312863366,1.829495128432241,2.718656879654897,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1077
4,13,1_1210902,1,Phoenix,9,East Camelback,Maricopa,ARA Residences,,3220 North 38th Street,Phoenix,AZ,85018,33.486636,-112.000302,50,88000,4.02,B+,C+,2020-06-30 00:00:00,96.0,3003,0.034125,1.70625,2.140227223028027,1.472727272727273,3.387017840459136,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1109.02
5,14,1_1225302,1,Phoenix,11,Uptown,Maricopa,PURE Midtown,,425 West Osborn,Phoenix,AZ,85013,33.487336,-112.080022,59,50145,1.07,A,B,2018-01-01 00:00:00,93.2,1757,0.03503838867284874,2.067264931698076,2.043022666550591,1.446649292628444,2.558795712484237,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1105.01
6,15,1_1233107,1,Phoenix,8,Christown,Maricopa,Park Central Luxury Townhomes,,917 West Glendale Avenue,Phoenix,AZ,85021,33.537464,-112.085073,56,103040,2.98,B+,B-,2020-12-18 00:00:00,96.4,2950,0.02862965838509317,1.603260869565217,1.789991519443935,1.126717557251908,2.363299351251158,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1067.02
7,26,1_1318105,1,Phoenix,19E,Gilbert,Maricopa,"Village at Hampton Court, The",,1555 South Val Vista Drive,Gilbert,AZ,85296,33.3223158,-111.7549206,56,67746,6.45,B+,B+,2021-05-31 00:00:00,98.2,2463,0.03635639004516872,2.035957842529448,1.929010456206908,1.556861799961946,2.431159420289855,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 8146
8,32,1_1574,1,Phoenix,7,Northwest Phoenix,Maricopa,12 Palms,"Elm Street, Lexus Place, Calgary Gardens",2508 West Elm Street,Phoenix,AZ,85015,33.507025,-112.113298,54,37300,1.69,C-,C,1964-01-01 00:00:00,98.1,858,0.02300268096514745,1.242144772117962,1.860233956401655,1.14262988661364,2.971698113207547,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1090.01
9,33,1_163,1,Phoenix,16N,North Tempe,Maricopa,"Heights on Lemon, The","Tides on Lemon Street, Fiesta Park/George Anne,Epic",1224 East Lemon Street,Tempe,AZ,85281,33.417313,-111.919365,65,55250,2.35,C,C+,1962-01-01 00:00:00,100.0,1449,0.0262262443438914,1.704705882352941,2.154585565832481,1.259916348761318,3.128756683670334,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 3191.01
